iter	Passed	Remaining
835	4000	784
836	4004	779
837	4009	775
838	4014	770
839	4018	765
840	4023	760
841	4028	755
842	4031	750
843	4035	745
844	4039	740
845	4043	736
846	4047	731
847	4051	726
848	4055	721
849	4059	716
850	4063	711
851	4067	706
852	4071	701
853	4076	696
854	4080	692
855	4084	687
856	4088	682
857	4092	677
858	4097	672
859	4101	667
860	4104	662
861	4108	657
862	4113	652
863	4117	648
864	4121	643
865	4125	638
866	4129	633
867	4132	628
868	4136	623
869	4140	618
870	4144	613
871	4148	608
872	4152	604
873	4156	599
874	4161	594
875	4164	589
876	4168	584
877	4172	579
878	4176	574
879	4181	570
880	4185	565
881	4190	560
882	4195	555
883	4199	551
884	4203	546
885	4207	541
886	4210	536
887	4214	531
888	4218	526
889	4222	521
890	4226	517
891	4230	512
892	4234	507
893	4238	502
894	4241	497
895	4245	492
896	4249	487
897	4253	483
898	4257	478
899	4260	473
900	4264	468
901	4268	463
902	4272	458
903	4276	454
904	4280	449
905	4284	444
906	4287	439
907	4291	434
908	4295	430
909	4299	425
910	4304	420
911	4308	415
912	4312	410
913	4316	406
914	4319	401
915	4323	396
916	4327	391
917	4332	386
918	4337	382
919	4340	377
920	4344	372
921	4348	367
922	4352	363
923	4356	358
924	4360	353
925	4364	348
926	4368	344
927	4372	339
928	4376	334
929	4380	329
930	4384	324
931	4388	320
932	4392	315
933	4396	310
934	4400	305
935	4404	301
936	4407	296
937	4412	291
938	4416	286
939	4420	282
940	4424	277
941	4428	272
942	4432	267
943	4436	263
944	4439	258
945	4443	253
946	4447	248
947	4451	244
948	4455	239
949	4459	234
950	4463	229
951	4467	225
952	4471	220
953	4475	215
954	4480	211
955	4484	206
956	4488	201
957	4493	196
958	4497	192
959	4501	187
960	4504	182
961	4508	178
962	4513	173
963	4517	168
964	4522	164
965	4527	159
966	4531	154
967	4536	149
968	4541	145
969	4545	140
970	4549	135
971	4553	131
972	4557	126
973	4561	121
974	4565	117
975	4569	112
976	4573	107
977	4578	102
978	4582	98
979	4586	93
980	4590	88
981	4594	84
982	4598	79
983	4602	74
984	4606	70
985	4611	65
986	4617	60
987	4625	56
988	4632	51
989	4640	46
990	4649	42
991	4653	37
992	4657	32
993	4661	28
994	4665	23
995	4670	18
996	4674	14
997	4678	9
998	4682	4
999	4686	0
